,importance
pm10_roll3_mean,0.8335671928154844
pm2_5,0.13623709015550792
pm10_diff1,0.015482262099780621
pm10_absdiff1,0.002638412159243165
pm2_5_diff1,0.0014734213748991156
hour_cos,0.0011294353881750833
hour_sin,0.0010043990151468497
co_diff3,0.000824867616392417
pm10_roll3_std,0.0007642719857347055
co_diff1,0.0005850658167330113
pm10_diff3,0.0004577546350149228
pm2_5_roll3_std,0.0004573920885155496
co_diff6,0.00029673118268850587
no2_diff1,0.00024220480009086887
pm2_5_roll3_mean,0.00023002939783963553
pm10_mom24,0.0002179792872342946
no2_diff3,0.00021499223667879395
pm10_roll6_mean,0.0002047402743178847
pm2_5_diff3,0.00020400416173976932
co_roll6_mean,0.00019977208582203716
co_roll3_std,0.00016966820608437178
co_roll6_std,0.00016621468689737454
co_roll12_mean,0.0001322826925637645
no2_roll12_std,0.0001273862325710694
co_roll24_mean,0.00012578402381956675
no2_roll3_std,0.0001236184499207845
pm10_roll24_mean,0.00012293831029523485
pm10_diff6,0.00012217223891911112
no2,0.00011528902782011218
co_roll12_std,0.00011255895130477207
co,0.00011214625351385067
co_roll24_std,0.00011028621723792892
pm10_absdiff3,9.84176535518238e-05
no2_roll24_mean,9.761955349689456e-05
no2_roll6_std,9.677987168660819e-05
no2_diff6,9.204647858878475e-05
pm10_roll6_std,9.174716780827803e-05
pm10_roll12_std,9.172800379971823e-05
co_roll3_mean,8.685634401917588e-05
pm2_5_diff6,8.327204519376714e-05
no2_roll3_mean,8.311036156400168e-05
no2_roll24_std,8.233305211960732e-05
pm2_5_roll6_mean,8.108726836898072e-05
pm2_5_roll6_std,7.955860968141484e-05
pm10_roll12_mean,7.764806259298646e-05
pm10_roll24_std,7.54007050886039e-05
pm2_5_roll24_std,7.383651667548316e-05
pm2_5_roll24_mean,7.31582550014878e-05
no2_roll6_mean,7.189120811227707e-05
no2_roll12_mean,7.003307090731276e-05
aqi_roll24_mean,5.901921977996837e-05
aqi_roll24_std,5.815298432117661e-05
pm2_5_roll12_std,5.711541234805783e-05
aqi_roll12_mean,5.052550610136546e-05
pm2_5_roll12_mean,4.675801136734068e-05
aqi_diff1,4.213125880039656e-05
day_sin,4.099119814748204e-05
aqi_roll12_std,3.688365306374841e-05
day_cos,2.479104558047814e-05
aqi_roll6_std,2.3510082525581736e-05
aqi_roll3_std,2.1729218029184315e-05
aqi_roll6_mean,2.093897904764475e-05
aqi_diff6,1.0718540452866411e-05
aqi,1.0256202705310124e-05
aqi_roll3_mean,9.38764781810801e-06
aqi_diff3,8.202943666517051e-06
